City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,castillos,-34.1667,-53.8333,12.22,66,71,3.69,UY,1693253531
109,ghat,24.9647,10.1728,31.41,32,92,6.06,LY,1693253532
110,shahrak,34.1074,64.3052,10.57,49,0,1.65,AF,1693253532
111,general villegas,-35.0328,-63.0125,19.55,30,30,8.19,AR,1693253533
112,whitehorse,60.7161,-135.0538,23.43,48,20,0.89,CA,1693253533
113,laguna,38.421,-121.4238,36.16,31,0,3.09,US,1693253536
114,lata,40.1629,-8.3327,18.37,90,56,2.18,PT,1693253539
115,gereida,11.2811,25.1414,27.53,60,6,2.52,SD,1693253540
116,orangeville,43.9168,-80.0997,22.97,39,0,1.05,CA,1693253197
117,boda,4.3189,17.4695,21.18,96,66,0.88,CF,1693253541
118,remire-montjoly,4.9167,-52.2667,31.02,66,0,5.14,GF,1693253541
119,bumba,2.1833,22.4667,21.98,93,100,1.63,CD,1693253542
120,dunedin,-45.8742,170.5036,10.45,66,52,4.92,NZ,1693253542
121,yajiwa,11.3839,12.7236,27.6,63,1,2.21,NG,1693253543
122,maraba,-5.3686,-49.1178,36.1,41,40,2.06,BR,1693253543
123,papao,-17.75,-149.55,27.82,94,55,6.64,PF,1693253544
124,tralee,52.2704,-9.7026,13.17,91,76,2.24,IE,1693253108
125,lihue,21.9789,-159.3672,29.77,66,20,5.14,US,1693253545
126,katsuren-haebaru,26.3369,127.8719,28.21,83,20,2.57,JP,1693253545
127,gaiman,-43.2897,-65.4929,15.56,26,93,9.8,AR,1693253546
128,qaqortoq,60.7167,-46.0333,9.99,50,54,0.44,GL,1693253546
129,avarua,-21.2078,-159.775,23.03,60,44,3.6,CK,1693253546
130,amravati,20.9333,77.75,23.87,78,24,2.36,IN,1693253547
131,fisterra,42.9049,-9.2629,19.3,84,96,6.25,ES,1693253548
132,pionerskiy,54.9508,20.2275,17.64,72,100,2.96,RU,1693253549
133,ushuaia,-54.8,-68.3,3.78,91,90,1.01,AR,1693253297
134,arraial do cabo,-22.9661,-42.0278,18.92,82,100,3.6,BR,1693253550
135,tolanaro,-25.0319,46.9987,18.55,67,100,3.8,MG,1693253550
136,ondjiva,-17.0667,15.7333,24.4,17,97,3.11,AO,1693253550
137,isangel,-19.55,169.2667,21.36,86,100,6.92,VU,1693253551
138,san jose de feliciano,-30.3845,-58.7517,17.37,30,0,6.12,AR,1693253551
139,waingapu,-9.6567,120.2641,23.39,88,100,4.97,ID,1693253552
140,kingston,17.997,-76.7936,32.36,72,100,4.47,JM,1693253305
141,krasnaya gorbatka,55.8703,41.7641,8.04,76,4,2.41,RU,1693253553
142,akrehamn,59.2667,5.1833,15.0,88,75,4.63,NO,1693253553
143,bossangoa,6.4926,17.4552,22.52,94,84,0.73,CF,1693253553
144,chongwe,-15.3292,28.682,14.17,73,0,1.95,ZM,1693253554
145,olonkinbyen,70.9221,-8.7187,4.93,88,100,4.94,SJ,1693253554
146,alice springs,-23.7,133.8833,6.75,39,0,2.57,AU,1693253555
147,manaure,11.7751,-72.4445,32.19,63,42,6.91,CO,1693253539
148,tazovsky,67.4667,78.7,8.59,70,25,2.52,RU,1693253556
149,mersa matruh,31.3525,27.2453,28.11,78,20,4.12,EG,1693253556
150,menfi,37.6066,12.9678,21.37,69,2,6.22,IT,1693253556
151,mayya,61.7333,130.2811,8.62,86,6,1.28,RU,1693253557
152,oruro,-17.9833,-67.15,18.0,7,0,4.54,BO,1693253557
153,ain fakroun,35.9711,6.8737,17.36,56,0,3.6,DZ,1693253558
154,cestos city,5.46,-9.5828,25.59,82,100,4.45,LR,1693253558
155,chui,-33.6971,-53.4616,12.32,66,95,3.59,UY,1693253201
156,queenstown,-31.8976,26.8753,12.77,20,1,1.47,ZA,1693253154
157,geraldton,-28.7667,114.6,10.23,93,0,3.09,AU,1693253559
158,arar,30.9753,41.0381,31.01,18,0,7.2,SA,1693253560
159,nam som,17.7704,102.1895,25.24,92,100,1.07,TH,1693253560
160,mokhsogollokh,61.4681,128.9203,13.28,85,7,1.0,RU,1693253547
161,kajaani,64.2273,27.7285,13.03,88,100,5.66,FI,1693253561
162,malango,-2.9627,119.9001,17.14,96,63,0.89,ID,1693253561
163,punta arenas,-53.15,-70.9167,6.17,68,34,4.36,CL,1693253561
164,tupanatinga,-8.7533,-37.3397,29.54,36,18,8.08,BR,1693253440
165,mahanoro,-19.9,48.8,19.94,88,63,3.21,MG,1693253562
166,najran,17.4924,44.1277,32.36,16,18,1.49,SA,1693253563
167,nishinoomote,30.7333,131.0,27.19,82,23,6.22,JP,1693253563
168,bamboo flat,11.7,92.7167,26.85,86,100,8.41,IN,1693253563
169,port lincoln,-34.7333,135.8667,17.44,44,26,7.44,AU,1693253564
170,santa fe,-31.6333,-60.7,20.56,30,0,6.26,AR,1693253564
171,freetown,8.484,-13.2299,25.84,83,75,1.54,SL,1693253565
172,happy valley-goose bay,53.3168,-60.3315,23.17,43,20,3.09,CA,1693253565
173,aur,8.1499,171.1687,28.09,78,11,4.11,MH,1693253565
174,boden,65.8252,21.6886,15.0,98,100,1.73,SE,1693253566
175,shanwei,22.782,115.3475,27.99,80,99,0.23,CN,1693253566
176,colonia,50.9333,6.95,17.7,81,0,1.03,DE,1693253567
177,khabarovsk,48.4808,135.0928,10.89,100,20,0.0,RU,1693253567
178,'ain el hadjar,34.7585,0.1453,19.63,35,0,3.48,DZ,1693253568
179,purranque,-40.9167,-73.1667,10.43,69,98,1.01,CL,1693253568
180,nabire,-3.3667,135.4833,24.0,90,99,1.72,ID,1693253568
181,brisas de zicatela,15.8369,-97.0419,30.29,66,40,1.03,MX,1693253570
182,vilyuchinsk,52.9306,158.4028,10.7,78,40,2.35,RU,1693253555
183,salamanca,40.8333,-6.0,20.88,47,1,4.58,ES,1693253571
184,wailua homesteads,22.0669,-159.378,29.44,74,20,5.14,US,1693253572
185,egilsstadir,65.2653,-14.3948,8.95,87,100,5.66,IS,1693253572
186,toliara,-23.35,43.6667,19.43,61,0,9.21,MG,1693253573
187,brokopondo,4.75,-55.1667,33.93,46,22,1.18,SR,1693253578
188,lazaro cardenas,17.9583,-102.2,31.27,66,14,4.18,MX,1693253578
189,crescent city,41.756,-124.2018,20.82,77,0,0.89,US,1693253579
190,tchintabaraden,15.8969,5.7985,29.69,48,100,6.56,NE,1693253579
191,bull savanna,17.8868,-77.5902,29.48,66,100,4.9,JM,1693253580
192,labytnangi,66.6572,66.4183,7.72,72,12,1.72,RU,1693253580
193,kizhinga,51.8462,109.9097,12.14,72,16,0.77,RU,1693253581
194,kailua-kona,19.6406,-155.9956,28.61,74,0,5.14,US,1693253581
195,coquimbo,-29.9533,-71.3436,16.85,77,0,6.69,CL,1693253581
196,shingu,33.7333,135.9833,23.9,92,17,1.42,JP,1693253582
197,choyr,46.3611,108.3611,12.54,65,6,1.46,MN,1693253582
198,birjand,32.8663,59.2211,20.26,30,0,4.12,IR,1693253583
199,tenenkou,14.4572,-4.9169,33.47,40,70,3.18,ML,1693253583
200,almansa,38.8692,-1.0971,23.77,36,3,4.48,ES,1693253584
201,kawerau,-38.1,176.7,5.21,87,3,0.45,NZ,1693253476
202,hawaiian paradise park,19.5933,-154.9731,24.73,86,75,3.6,US,1693253585
203,polyarnyy,69.1989,33.4478,10.21,83,100,2.07,RU,1693253585
204,beau vallon,-20.4189,57.6953,22.34,88,40,0.0,MU,1693253586
205,princeville,45.7668,-61.2985,22.58,58,0,4.12,CA,1693253586
206,sur,22.5667,59.5289,30.23,62,42,4.54,OM,1693253586
207,i-n-salah,27.1935,2.4607,36.47,24,100,2.32,DZ,1693253587
208,vaijapur,19.9167,74.7333,22.18,86,7,5.7,IN,1693253587
